CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location,closure_action
50155388,NENO'S GOURMET MEXICAN,Brooklyn,499,MYRTLE AVENUE,11205,3476892734,Mexican,09/26/2025,Establishment re-opened by DOHMH.,,,Not Applicable,0,,,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.69350650515,-73.96510731366,302,35,019100,3054520,3018910077,BK69,POINT (-73.965107313655 40.69350650515),re_opened
50078464,GLAZE,Manhattan,643,LEXINGTON AVENUE,10022,2129353400,Japanese,07/26/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,07/26/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.75922866322,-73.97035010228,106,04,010000,1036487,1013090050,MN19,POINT (-73.970350102284 40.759228663216),re_opened
50131915,99 CENT SUPREME PIZZA,Bronx,297,BROADWAY,,6464274438,Pizza,09/21/2023,Establishment re-opened by DOHMH.,,,Not Applicable,0,C,09/21/2023,05/29/2026,Pre-permit (Operational) / Reopening Inspection,0,0,,,,,2,,,re_opened
50106455,J PETAL,Brooklyn,4801,5TH AVE,11220,9179091862,Frozen Desserts,04/04/2025,Establishment re-closed by DOHMH.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,18,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.64613110294,-74.00923225932,307,38,009800,3012639,3007750009,BK34,POINT (-74.009232259316 40.64613110294),re_closed
40659101,LUCKY HOUSE CHINESE KITCHEN,Brooklyn,343345,LEWIS AVENUE,,7184432298,Chinese,09/25/2025,Establishment re-opened by DOHMH.,,,Not Applicable,0,Z,09/25/2025,05/29/2026,Cycle Inspection / Reopening Inspection,0,0,,,,,3,,,re_opened
50070454,Sushi Q,Bronx,1610,CROSBY AVENUE,10461,7188221627,Japanese,06/24/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,06/24/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.84421663498,-73.83052139089,210,13,026602,2098281,2041680008,BX10,POINT (-73.830521390885 40.844216634976),re_opened
50083220,POKE ISLAND GRILL,Staten Island,2655,RICHMOND AVENUE,10314,9177706186,Japanese,06/27/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,06/27/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.58229741996,-74.16905259269,502,51,027702,5039658,5024000180,SI24,POINT (-74.169052592685 40.582297419955),re_opened
50096203,KORONET PIZZA,Manhattan,1110,LEXINGTON AVENUE,10075,6467670424,Pizza,11/28/2025,Establishment re-opened by DOHMH.,,,Not Applicable,0,Z,11/28/2025,05/29/2026,Cycle Inspection / Reopening Inspection,40.77398120259,-73.95961676863,108,04,014000,1043211,1014120057,MN40,POINT (-73.95961676863 40.773981202593),re_opened
41664735,EL PASO,Queens,35-64,95 STREET,11372,3476241470,Latin American,04/14/2026,Establishment re-opened by DOHMH.,,,Not Applicable,0,Z,04/14/2026,05/29/2026,Cycle Inspection / Reopening Inspection,40.75273623707,-73.87255468596,403,21,027300,4036171,4014680036,QN28,POINT (-73.872554685958 40.752736237071),re_opened
50128561,HARRY BAGELS,Manhattan,520,8 AVENUE,10018,6468283371,Bagels/Pretzels,03/11/2025,Establishment re-opened by DOHMH.,,,Not Applicable,0,C,03/11/2025,05/29/2026,Cycle Inspection / Reopening Inspection,40.75360548625,-73.99241670865,105,03,010900,1083624,1007860001,MN17,POINT (-73.992416708652 40.753605486254),re_opened
50176475,BUSHWICK BAKERY,Brooklyn,127,CENTRAL AVENUE,11221,8606621654,Bakery Products/Desserts,03/06/2026,Establishment re-opened by DOHMH.,,,Not Applicable,0,Z,03/06/2026,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.69981878003,-73.92820280243,304,34,042300,3325275,3031960008,BK78,POINT (-73.928202802425 40.699818780031),re_opened
50046215,GREGORYS COFFEE,Manhattan,520,8 AVENUE,10018,9292330268,Coffee/Tea,10/29/2025,Establishment re-opened by DOHMH.,,,Not Applicable,0,C,10/29/2025,05/29/2026,Cycle Inspection / Reopening Inspection,40.75360548625,-73.99241670865,105,03,010900,1083624,1007860001,MN17,POINT (-73.992416708652 40.753605486254),re_opened
50003964,EMERALD INN,Manhattan,250,WEST   72 STREET,10023,2128748840,Irish,10/11/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,10/11/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.77929269971,-73.98328574509,107,06,015900,1030433,1011630056,MN14,POINT (-73.983285745093 40.779292699707),re_opened
50108701,GRAND CANYON BISTRO,Brooklyn,300,SCHERMERHORN STREET,11217,9175157175,American,09/02/2025,Establishment re-closed by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,22,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.68757627775,-73.98249031063,302,33,004100,3420391,3001720024,BK38,POINT (-73.982490310634 40.687576277753),re_closed
50084739,NOODLELOVE,Manhattan,192,MOTT STREET,10012,6468700571,Asian/Asian Fusion,05/14/2025,Establishment re-opened by DOHMH.,,,Not Applicable,0,C,05/14/2025,05/29/2026,Cycle Inspection / Reopening Inspection,40.7210555017,-73.99567087669,102,01,004100,1007158,1004790005,MN24,POINT (-73.995670876691 40.721055501697),re_opened
50013904,SSAM,Brooklyn,170,SMITH STREET,11201,9179091248,Korean,12/05/2022,Establishment re-closed by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,16,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.68586178271,-73.99106149107,302,39,006900,3006060,3003900042,BK38,POINT (-73.991061491068 40.685861782707),re_closed
50086817,FAMOUS NEW YORK PIZZA,Staten Island,430,JERSEY STREET,10301,7185565558,Pizza,11/26/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,C,11/26/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.63769927085,-74.08717650946,501,49,007700,5002475,5001030024,SI22,POINT (-74.087176509458 40.637699270847),re_opened
41436019,TAQUERIA EL FOGON,Brooklyn,1050,FLUSHING AVENUE,11237,7184977445,Mexican,05/08/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,05/08/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.70447186919,-73.92933027641,304,34,042700,3071937,3031550026,BK77,POINT (-73.929330276413 40.704471869186),re_opened
50009079,TING FAI CUISINE,Brooklyn,1962,86 STREET,11214,7183733888,Chinese,10/03/2022,Establishment re-opened by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,9,C,10/03/2022,05/29/2026,Cycle Inspection / Reopening Inspection,40.60497618383,-73.99889079771,311,38,028400,3166862,3063740048,BK28,POINT (-73.99889079771 40.604976183834),re_opened
50075628,PAPA JOHN'S,Brooklyn,1915,NOSTRAND AVENUE,11226,7182957272,Pizza,07/03/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,07/03/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.6390959151,-73.9483055373,317,45,083000,3112333,3049640050,BK91,POINT (-73.948305537304 40.639095915099),re_opened
50092484,EL RINCON DE MACON,Brooklyn,522,NOSTRAND AVENUE,11216,7186901497,Spanish,04/21/2026,Establishment re-opened by DOHMH.,,,Not Applicable,0,Z,04/21/2026,05/29/2026,Cycle Inspection / Reopening Inspection,40.68089402545,-73.94968633687,303,36,024500,3053218,3018480017,BK75,POINT (-73.949686336873 40.680894025451),re_opened
50146853,CAFE LOUNGE,Brooklyn,210,KINGS HIGHWAY,11223,7182000632,Coffee/Tea,07/11/2025,Establishment re-closed by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,47,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.60543887308,-73.98352751104,311,43,042800,3176520,3066460010,BK29,POINT (-73.983527511041 40.605438873083),re_closed
